Budget,Accuracy,ROC
0.1,0.5860000000000001,0.5526785714285715
0.12742749857031338,0.547,0.5049512987012986
0.16237767391887217,0.5780000000000001,0.5674512987012987
0.20691380811147897,0.5720000000000001,0.5384740259740259
0.26366508987303583,0.5650000000000001,0.5215097402597403
0.33598182862837817,0.5650000000000001,0.5258928571428572
0.42813323987193935,0.5640000000000001,0.5298701298701299
0.5455594781168519,0.584,0.5433441558441559
0.6951927961775606,0.5640000000000001,0.5137987012987013
0.8858667904100825,0.558,0.5120941558441559
1.1288378916846888,0.56,0.5082792207792207
1.438449888287663,0.5630000000000001,0.5073051948051948
1.8329807108324356,0.557,0.5043831168831169
2.3357214690901213,0.558,0.505275974025974
2.9763514416313175,0.5740000000000001,0.547077922077922
3.79269019073225,0.56,0.5075487012987013
4.832930238571752,0.5710000000000001,0.530762987012987
6.158482110660261,0.5630000000000001,0.5253246753246753
7.847599703514611,0.5790000000000001,0.5366883116883117
10.0,0.5640000000000001,0.5167207792207792
